tier_option	weight_set	human_gene_symbol	rank	score
A	default	CTSD	1	0.975486
A	default	CTSB	2	0.927427
A	default	CST3	3	0.926675
A	default	CPQ	4	0.92628
A	default	PARK7	5	0.925177
A	default	HEXB	6	0.921914
A	default	PRDX6	7	0.896007
A	default	ATP6AP1	8	0.886872
A	default	NPC2	9	0.884198
A	default	GM2A	10	0.884031
A	default	EPDR1	11	0.87402
A	default	GGH	12	0.873497
A	default	CTSS	13	0.871815
A	default	CTSZ	14	0.869583
A	default	MAN2B1	15	0.868753
A	default	GAA	16	0.866036
A	default	LAMP1	17	0.860784
A	default	TPP1	18	0.85726
A	default	PRDX5	19	0.848815
A	default	CTSA	20	0.847127
A	default	CTBS	21	0.845379
A	default	CSTB	22	0.83995
A	default	IDS	23	0.837623
A	default	LAMP2	24	0.834314
A	default	PPT1	25	0.833201
A	default	CTSF	26	0.829273
A	default	HEXA	27	0.829251
A	default	GNS	28	0.827822
A	default	ARSB	29	0.817913
A	default	LGMN	30	0.81703
A	default	MANBA	31	0.811105
A	default	ASAH1	32	0.811079
A	default	SQSTM1	33	0.803174
A	default	UBE2N	34	0.802983
A	default	PRCP	35	0.795196
A	default	FUCA1	36	0.794679
A	default	RAB5C	37	0.790369
A	default	ACP2	38	0.779769
A	default	RAB14	39	0.77962
A	default	PLBD2	40	0.77838
A	default	SCPEP1	41	0.77595
A	default	GLB1	42	0.774975
A	default	RAB7A	43	0.774885
A	default	ATP6AP2	44	0.773466
A	default	RAB4B	45	0.769159
A	default	PCYOX1	46	0.767498
A	default	NAGLU	47	0.762509
A	default	SMPD1	48	0.75478
A	default	ARL8B	49	0.750074
A	default	NAGA	50	0.749066
A	default	CAPNS1	51	0.747703
A	default	CAPN2	52	0.73891
A	default	ITM2C	53	0.734861
A	default	TGM2	54	0.731467
A	default	PKM	55	0.729772
A	default	CHGB	56	0.729438
A	default	LDHB	57	0.729357
A	default	CLU	58	0.729349
A	default	YWHAZ	59	0.729275
A	default	PPIA	60	0.728963
A	default	YWHAE	61	0.727378
A	default	B2M	62	0.727144
A	default	MDH1	63	0.727033
A	default	HSP90B1	64	0.726765
A	default	THY1	65	0.7256
A	default	CNTN1	66	0.725073
A	default	GABARAPL2	67	0.724093
A	default	PAM	68	0.724058
A	default	NUCB1	69	0.723738
A	default	SOD1	70	0.723371
A	default	NRCAM	71	0.722988
A	default	PRDX2	72	0.722774
A	default	LSAMP	73	0.722733
A	default	CLSTN1	74	0.722122
A	default	CHGA	75	0.721799
A	default	PSAP	76	0.721705
A	default	CPE	77	0.720956
A	default	PLTP	78	0.720839
A	default	CTSH	79	0.720812
A	default	LGALS3BP	80	0.720179
A	default	GALNS	81	0.720024
A	default	GOT1	82	0.719503
A	default	APP	83	0.719226
A	default	VIM	84	0.718837
A	default	VTN	85	0.718715
A	default	ATP6V1B2	86	0.718048
A	default	ATP6V1A	87	0.716941
A	default	GLA	88	0.716754
A	default	UBE2L3	89	0.716044
A	default	PTGDS	90	0.714494
A	default	RAB1A	91	0.713651
A	default	CALR	92	0.713427
A	default	DKK3	93	0.713055
A	default	ARSG	94	0.712048
